City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,colon,9.3592,-79.9014,297.54,76,81,6.71,PA,1703056177
1,waitangi,-43.9535,-176.5597,289.72,89,96,1.34,NZ,1703056126
2,vernon,50.2581,-119.2691,277.76,91,100,1.17,CA,1703056142
3,nova sintra,14.8667,-24.7167,293.75,71,93,6.94,CV,1703056204
4,puerto natales,-51.7236,-72.4875,281.49,97,17,1.82,CL,1703056205
5,sechura,-5.5569,-80.8222,294.76,83,15,4.29,PE,1703056207
6,port-aux-francais,-49.35,70.2167,278.99,86,100,19.0,TF,1703056208
7,avarua,-21.2078,-159.775,297.18,78,75,3.6,CK,1703056209
8,amga,60.8953,131.9608,231.42,99,100,0.57,RU,1703056210
9,hithadhoo,-0.6,73.0833,301.52,75,16,2.84,MV,1703056211
10,saint-joseph,-21.3667,55.6167,303.36,76,100,2.72,RE,1703055953
11,pangody,65.85,74.4859,258.93,94,91,6.4,RU,1703056213
12,olonkinbyen,70.9221,-8.7187,266.96,68,100,8.26,SJ,1703056214
13,thompson,55.7435,-97.8558,244.25,100,22,1.01,CA,1703056215
14,ust-nera,64.5667,143.2,236.42,99,97,2.12,RU,1703056216
15,ta`u,-14.2336,-169.5144,301.12,83,100,3.65,AS,1703056217
16,baardheere,2.3446,42.2764,304.39,47,87,4.68,SO,1703056218
17,cabedelo,-6.9811,-34.8339,298.52,83,100,4.45,BR,1703056219
18,west island,-12.1568,96.8225,303.14,62,60,4.12,CC,1703056220
19,flin flon,54.7682,-101.865,255.34,82,99,3.13,CA,1703056222
20,yellowknife,62.456,-114.3525,255.36,91,100,5.48,CA,1703056019
21,albany,42.6001,-73.9662,271.05,77,5,0.45,US,1703056026
22,zhangjiakou,40.81,114.8794,255.72,61,28,7.26,CN,1703056225
23,laibin,23.7,109.2667,285.72,47,63,7.65,CN,1703056226
24,blackmans bay,-43.0167,147.3167,288.56,63,85,0.45,AU,1703056227
25,horta,38.5333,-28.6333,290.38,82,100,2.68,PT,1703056228
26,tadine,-21.55,167.8833,299.71,79,9,0.18,NC,1703056229
27,port mathurin,-19.6833,63.4167,299.33,80,99,7.93,MU,1703056231
28,orange walk,17.8333,-88.8333,289.23,83,45,0.82,BZ,1703056232
29,wailua homesteads,22.0669,-159.378,295.59,87,100,8.23,US,1703056233
30,port elizabeth,-33.918,25.5701,298.76,78,0,4.47,ZA,1703056195
31,adamstown,-25.066,-130.1015,295.97,80,100,6.92,PN,1703056235
32,huittinen,61.1833,22.7,271.84,84,55,4.27,FI,1703056236
33,chardara,41.2547,67.9692,277.29,36,0,1.21,KZ,1703056237
34,ribeira grande,38.5167,-28.7,290.8,82,99,2.68,PT,1703056238
35,kangding,30.0513,101.9603,284.79,13,0,2.45,CN,1703056241
36,nagqu,31.5,92.0,263.76,49,0,1.31,CN,1703056242
37,grytviken,-54.2811,-36.5092,275.39,79,19,5.94,GS,1703056243
38,kapa'a,22.0752,-159.319,296.33,87,100,8.23,US,1703056244
39,college,64.8569,-147.8028,261.73,84,100,0.0,US,1703056106
40,guerrero negro,27.9769,-114.0611,291.73,75,100,3.46,MX,1703056245
41,mikkeli,61.6886,27.2723,273.21,86,100,8.75,FI,1703056246
42,oral,51.2333,51.3667,274.14,100,100,11.0,KZ,1703056247
43,vorgashor,67.5833,63.95,252.3,96,14,3.05,RU,1703056248
44,fort bragg,35.139,-79.006,273.26,68,0,3.09,US,1703056249
45,edinburgh of the seven seas,-37.0676,-12.3116,289.68,96,100,6.89,SH,1703056250
46,bredasdorp,-34.5322,20.0403,294.26,60,34,1.71,ZA,1703056066
47,shalqar,47.8333,59.6,272.55,92,100,6.48,KZ,1703056251
48,alofi,-19.0595,-169.9187,299.06,86,5,11.07,NU,1703056252
49,saint-pierre,-21.3393,55.4781,303.97,66,40,4.12,RE,1703056253
50,tinghir,31.5157,-5.5343,278.34,24,0,2.44,MA,1703056254
51,remire-montjoly,4.9167,-52.2667,298.17,94,75,0.51,GF,1703056255
52,isafjordur,66.0755,-23.124,268.17,54,75,1.03,IS,1703056256
53,fortaleza,-3.7227,-38.5247,302.08,81,40,2.57,BR,1703056087
54,northam,51.0333,-4.2167,284.07,90,100,9.91,GB,1703056257
55,atherton,53.5237,-2.4935,282.75,85,87,4.92,GB,1703056219
56,uvinza,-5.1036,30.3911,297.79,84,100,0.75,TZ,1703056259
57,callao,-12.0667,-77.15,294.66,83,100,7.2,PE,1703056260
58,polyarnyy,69.1989,33.4478,264.67,95,100,1.04,RU,1703056261
59,dudinka,69.4058,86.1778,259.64,76,100,13.41,RU,1703056262
60,stanley,54.868,-1.6985,280.53,84,0,8.23,GB,1703056263
61,nemuro,43.3236,145.575,271.21,59,5,5.3,JP,1703056264
62,klyuchi,52.2667,79.1667,266.9,92,100,4.75,RU,1703056265
63,porto velho,-8.7619,-63.9039,298.18,94,20,0.0,BR,1703056266
64,papatowai,-46.5619,169.4708,295.18,67,67,2.91,NZ,1703056267
65,new amsterdam,6.25,-57.5167,298.62,86,14,2.4,GY,1703056268
66,acapulco de juarez,16.8634,-99.8901,298.05,88,0,2.06,MX,1703056004
67,aasiaat,68.7098,-52.8699,254.3,97,84,3.89,GL,1703056270
68,weno,7.4515,151.8468,302.12,74,20,3.6,FM,1703056271
69,tiksi,71.6872,128.8694,255.35,91,100,6.11,RU,1703056272
70,petropavlovsk-kamchatsky,53.0452,158.6483,260.48,61,0,4.0,RU,1703056274
71,constantia,44.1833,28.65,278.54,81,0,4.85,RO,1703056275
72,whitehorse,60.7161,-135.0538,258.24,94,96,2.73,CA,1703056276
73,kostel,42.8887,25.995,270.31,76,3,1.99,BG,1703056277
74,tomohon,1.3346,124.8392,299.67,72,51,1.57,ID,1703056278
75,port lincoln,-34.7333,135.8667,289.99,59,89,8.07,AU,1703056279
76,hermanus,-34.4187,19.2345,294.15,72,12,2.77,ZA,1703056280
77,port augusta,-32.5,137.7667,298.58,22,0,10.43,AU,1703056282
